#sgRNA,DMSO_B1,DMSO_B2,C109_B1,C109_B2
sgRNA1663,2030,1635,1769,1533
sgRNA1664,629,412,601,378
sgRNA1665,4938,4016,4605,4283
sgRNA1666,1929,1489,1756,1257
sgRNA1667,1712,1193,1464,1071
sgRNA1668,440,421,373,418
sgRNA1669,1576,1269,1332,1200
sgRNA1670,784,639,748,674
sgRNA1671,6,6,6,5
sgRNA1672,5,5,5,5
sgRNA1673,6,5,5,6
sgRNA1674,398,334,391,309
sgRNA1675,941,686,806,665
sgRNA1676,835,687,683,692
sgRNA1677,546,453,530,446
sgRNA1678,344,334,324,329
sgRNA1679,574,412,497,400
sgRNA1680,1496,1243,1070,899
sgRNA1681,5,5,5,5
sgRNA1682,40,30,30,32
sgRNA1685,613,588,484,492
sgRNA1686,122,73,100,81
sgRNA1687,245,192,190,187
sgRNA1688,173,150,168,149
sgRNA1689,326,258,269,242
sgRNA1690,5,5,5,5
sgRNA1691,137,127,141,136
sgRNA1692,121,117,146,134
sgRNA1693,102,84,66,76
sgRNA1694,145,130,137,156
sgRNA1695,169,137,102,128
sgRNA1696,309,287,259,232
sgRNA1697,450,434,426,420
sgRNA1698,242,201,215,170
sgRNA1699,97,76,95,75
sgRNA1700,229,182,194,180
sgRNA1701,179,138,193,141
sgRNA1702,254,247,230,268
sgRNA1703,90,75,83,82
sgRNA1704,12,9,11,8
sgRNA1705,107,101,143,120
sgRNA1706,158,150,145,128
sgRNA1707,114,69,98,68
sgRNA1708,170,160,164,148
sgRNA1742,533,456,505,472
sgRNA1743,857,686,731,674
sgRNA1744,301,211,257,212
sgRNA1745,5,5,5,5
sgRNA1746,190,204,185,183
sgRNA1747,250,210,204,207
sgRNA1748,6,5,7,5
sgRNA1749,78,67,89,57
sgRNA1750,146,117,122,96
sgRNA1751,176,117,143,116
sgRNA1752,193,171,205,167
sgRNA1753,222,177,172,181
sgRNA1754,942,766,758,685
sgRNA1755,103,72,89,74
sgRNA1756,5,5,6,5
sgRNA1757,79,68,55,59
sgRNA1758,134,138,115,119
sgRNA1759,115,95,137,95
sgRNA1760,5,5,5,5
sgRNA1761,24,13,26,15
sgRNA1762,193,156,141,148
sgRNA1763,174,118,142,116
sgRNA1764,5,5,5,5
sgRNA1765,223,178,166,180
sgRNA1766,5,5,5,5
sgRNA1767,5,5,5,5
sgRNA1768,5,5,5,5
sgRNA1769,5,5,5,6
sgRNA1770,5,5,5,5
sgRNA1771,226,200,177,174
sgRNA1772,2092,2021,1764,2029
sgRNA1773,5,5,5,5
sgRNA1774,236,237,212,221
sgRNA1775,5,5,5,5
sgRNA1776,150,117,138,133
sgRNA1777,198,188,220,162
sgRNA1778,44,38,45,32
sgRNA1779,92,75,95,68
sgRNA1780,794,670,738,719
sgRNA1781,593,496,531,459
sgRNA1782,6,6,5,6
sgRNA1783,440,333,330,377
sgRNA1785,6,5,5,5
sgRNA1786,211,174,196,183
sgRNA1787,331,234,324,215
sgRNA1788,159,112,140,112
sgRNA1789,130,116,105,94
sgRNA1790,223,195,186,205
sgRNA1791,108,79,88,75
sgRNA1792,201,134,163,123
sgRNA1793,224,157,198,196
sgRNA1794,151,117,117,106
sgRNA1795,257,199,205,202
sgRNA1796,255,202,191,197
sgRNA1797,48,30,36,24
sgRNA1798,415,347,253,305
sgRNA1799,177,109,164,108
sgRNA1800,279,156,214,195
sgRNA1801,217,155,183,119
sgRNA1828,310,284,279,280
sgRNA1829,260,189,234,211
sgRNA1830,5,5,5,5
sgRNA1831,360,337,311,294
sgRNA1832,1125,930,969,793
sgRNA1833,718,530,582,529
sgRNA1834,280,249,207,237
sgRNA1835,295,254,296,265
sgRNA1836,2437,1757,2633,1895
sgRNA1837,374,302,315,341
sgRNA1838,216,192,164,148
sgRNA1839,443,336,423,352
sgRNA1840,5,5,5,5
sgRNA1841,330,256,281,237
sgRNA1842,5,6,5,5
sgRNA1843,307,211,240,196
sgRNA1844,52,44,40,44
sgRNA1845,122,103,134,144
sgRNA1846,391,334,354,381
sgRNA1847,969,689,806,625
sgRNA1848,282,269,269,294
sgRNA1849,254,208,219,208
sgRNA1850,329,258,269,281
sgRNA1851,507,386,407,322
sgRNA1852,651,518,626,488
sgRNA1853,186,164,164,171
sgRNA1854,1088,843,981,740
sgRNA1855,5,5,5,5
sgRNA1856,586,442,424,373
sgRNA1857,195,191,174,212
sgRNA1858,218,159,238,155
sgRNA1859,307,276,284,253
sgRNA1860,253,263,284,247
sgRNA1861,102,90,114,80
sgRNA1862,6,5,5,5
sgRNA1863,481,388,430,353
sgRNA1864,171,143,147,114
sgRNA1865,425,334,367,352
sgRNA1866,724,510,429,394
sgRNA1867,20,21,16,19
sgRNA1868,5,5,5,5
sgRNA1869,5,5,5,5
sgRNA1870,395,357,337,333
sgRNA1871,684,539,601,566
sgRNA1872,412,349,411,297
sgRNA1873,399,262,343,271
sgRNA1874,5,5,5,5
sgRNA1875,718,641,636,558
sgRNA1876,599,558,531,508
sgRNA1877,296,251,207,200
sgRNA1878,269,201,265,210
sgRNA1879,268,261,260,234
sgRNA1880,121,108,120,102
sgRNA1881,540,544,548,692
sgRNA1882,670,432,528,388
sgRNA1883,683,619,559,563
sgRNA1884,355,310,299,285
sgRNA1885,5,5,5,6
sgRNA1886,184,190,137,182
sgRNA1887,597,472,601,434
sgRNA1888,1012,733,817,678
sgRNA1889,5,5,5,5
sgRNA1890,250,198,192,216
sgRNA1891,436,327,374,328
sgRNA1892,573,384,469,356
sgRNA1893,418,302,370,251
sgRNA1894,234,218,208,189
sgRNA1895,6,5,6,6
sgRNA1896,267,230,183,217
sgRNA1897,130,107,109,80
sgRNA1898,6,7,6,5
sgRNA1899,5,5,5,5
sgRNA1900,172,148,155,125
sgRNA1901,218,132,160,147
sgRNA1902,252,176,205,161
sgRNA1903,205,158,206,150
sgRNA1904,256,158,201,153
sgRNA1905,632,496,565,409
sgRNA1906,164,128,185,125
sgRNA1907,1344,860,1268,796
sgRNA1908,148,126,140,118
sgRNA1909,5,5,6,5
sgRNA1910,183,141,177,118
sgRNA1911,414,334,415,341
