#sgRNA,DMSO_B1,DMSO_B2,Novo_B1,Novo_B2
sgRNA2028,786,576,491,549
sgRNA2029,484,352,353,328
sgRNA2030,317,251,151,200
sgRNA2031,328,279,225,222
sgRNA2033,5,5,5,5
sgRNA2034,260,233,173,180
sgRNA2035,418,304,214,266
sgRNA2036,254,188,168,140
sgRNA2037,258,160,55,57
sgRNA2038,85,83,58,73
sgRNA2039,1563,1297,1072,1146
sgRNA2040,591,471,325,336
sgRNA2041,390,319,229,282
sgRNA2042,348,306,191,216
sgRNA2043,179,102,107,89
sgRNA2044,282,193,142,149
sgRNA2045,276,154,139,124
sgRNA2046,510,338,220,211
sgRNA2047,173,127,134,134
sgRNA2048,166,141,138,123
sgRNA2049,312,270,174,219
sgRNA2050,234,206,144,154
sgRNA2051,318,306,241,241
sgRNA2052,138,90,87,73
sgRNA2053,151,146,119,129
sgRNA2054,113,61,74,56
sgRNA2055,214,168,91,113
sgRNA2056,259,221,140,181
sgRNA2057,5,5,5,5
sgRNA2058,159,107,66,81
sgRNA2059,703,546,262,307
sgRNA2060,696,633,397,444
sgRNA2061,182,174,91,125
sgRNA2062,192,180,165,173
sgRNA2063,402,386,272,335
sgRNA2064,187,124,113,123
sgRNA2065,139,100,76,74
sgRNA2066,332,268,192,218
sgRNA2067,120,102,78,84
sgRNA2068,5,5,5,5
sgRNA2069,246,215,200,202
sgRNA2070,240,214,131,161
sgRNA2071,49,27,31,21
sgRNA2072,550,384,222,276
sgRNA2073,333,240,162,167
sgRNA2074,196,165,95,133
sgRNA2075,250,192,160,172
sgRNA2076,409,299,296,246
sgRNA2077,196,131,142,131
sgRNA2078,295,250,205,227
sgRNA2079,5,5,5,5
sgRNA2080,204,146,120,128
sgRNA2081,741,561,468,354
sgRNA2082,5,5,5,5
sgRNA2083,231,209,145,172
sgRNA2773,5,5,5,5
sgRNA2774,5,5,5,5
sgRNA2775,5,5,5,5
sgRNA2776,5,5,5,5
sgRNA144,5,5,5,5
