#sgRNA,DMSO_B1,DMSO_B2,PHAR_STL_B1,PHAR_STL_B2
sgRNA1799,177,109,160,122
sgRNA1800,279,156,227,152
sgRNA1801,217,155,169,114
sgRNA1828,310,284,290,203
sgRNA1829,260,189,203,154
sgRNA1830,5,5,5,5
sgRNA1831,360,337,298,262
sgRNA1832,1125,930,1035,719
sgRNA1833,718,530,598,431
sgRNA1834,280,249,264,168
sgRNA1835,295,254,315,214
sgRNA1836,2437,1757,2027,1278
sgRNA1837,374,302,363,263
sgRNA1838,216,192,180,124
sgRNA1839,443,336,406,275
sgRNA1840,5,5,5,6
sgRNA1841,330,256,294,217
sgRNA1842,5,6,5,5
sgRNA1843,307,211,264,176
sgRNA1844,52,44,64,39
sgRNA1845,122,103,136,114
sgRNA1846,391,334,377,315
sgRNA1847,969,689,849,545
sgRNA1848,282,269,301,222
sgRNA1849,254,208,218,176
sgRNA1850,329,258,333,224
sgRNA1851,507,386,488,305
sgRNA1852,651,518,582,383
sgRNA1853,186,164,165,134
sgRNA1854,1088,843,1068,702
sgRNA1855,5,5,5,5
sgRNA1856,586,442,524,386
sgRNA1857,195,191,177,193
sgRNA1858,218,159,242,147
sgRNA1859,307,276,307,232
sgRNA1860,253,263,260,197
sgRNA1861,102,90,117,78
sgRNA1862,6,5,6,5
sgRNA1863,481,388,506,316
sgRNA1864,171,143,170,107
sgRNA1865,425,334,347,280
sgRNA1866,724,510,488,346
sgRNA1867,20,21,21,13
sgRNA1868,5,5,5,5
sgRNA1869,5,5,5,5
sgRNA1870,395,357,361,304
sgRNA1871,684,539,647,459
sgRNA1872,412,349,446,326
sgRNA1873,399,262,371,230
sgRNA1874,5,5,5,5
sgRNA1875,718,641,697,526
sgRNA1876,599,558,584,420
sgRNA1877,296,251,265,200
sgRNA1878,269,201,274,163
sgRNA1879,268,261,251,239
sgRNA1880,121,108,126,96
sgRNA1881,540,544,589,510
sgRNA1882,670,432,546,332
sgRNA1883,683,619,588,466
sgRNA1884,355,310,322,272
sgRNA1885,5,5,5,5
sgRNA1886,184,190,159,142
sgRNA1887,597,472,530,353
sgRNA1888,1012,733,855,630
sgRNA1889,5,5,5,5
sgRNA1890,250,198,196,190
sgRNA1891,436,327,357,282
sgRNA1892,573,384,454,303
sgRNA1893,418,302,437,260
sgRNA1894,234,218,263,181
sgRNA1895,6,5,6,5
sgRNA1896,267,230,218,168
sgRNA1897,130,107,113,81
sgRNA1898,6,7,6,5
sgRNA1899,5,5,5,5
sgRNA1900,172,148,189,118
sgRNA1901,218,132,186,123
sgRNA1902,252,176,224,140
sgRNA1903,205,158,242,125
sgRNA1904,256,158,237,142
sgRNA1905,632,496,610,385
sgRNA1906,164,128,145,88
sgRNA1907,1344,860,1171,704
sgRNA1908,148,126,160,132
sgRNA1909,5,5,6,5
sgRNA1910,183,141,166,126
sgRNA1911,414,334,400,285
sgRNA1912,223,177,224,169
sgRNA1913,341,262,346,215
sgRNA1914,506,383,418,328
sgRNA1915,350,255,291,210
sgRNA1916,238,194,215,144
sgRNA1917,164,169,151,134
sgRNA1918,987,668,871,578
sgRNA1919,5,5,5,5
sgRNA1920,447,398,378,331
sgRNA1921,200,187,180,151
sgRNA1922,241,224,231,170
sgRNA1923,214,183,202,168
sgRNA1928,5,5,5,5
sgRNA1929,451,351,387,282
sgRNA1930,23,14,18,13
sgRNA1931,210,151,209,147
sgRNA1932,268,211,227,174
sgRNA1933,364,285,325,198
sgRNA1934,211,132,157,135
sgRNA1935,556,452,456,330
sgRNA1936,582,493,511,455
sgRNA1937,558,477,497,447
sgRNA1938,1224,1034,1058,839
sgRNA1939,571,468,499,357
sgRNA1940,216,169,178,105
sgRNA1941,37,35,25,32
sgRNA1942,5,5,5,5
sgRNA1943,277,235,216,198
sgRNA1944,359,332,295,232
sgRNA1945,189,152,170,125
sgRNA1946,335,285,361,244
sgRNA1947,176,147,159,112
sgRNA1948,253,182,256,180
sgRNA1949,5,5,5,5
sgRNA1950,465,351,403,299
sgRNA1951,5,5,5,5
sgRNA1952,168,143,204,131
sgRNA1953,252,190,225,169
sgRNA1954,704,621,748,457
sgRNA1955,6,5,6,5
sgRNA1956,11,12,12,11
sgRNA1957,297,271,261,211
sgRNA1958,27,18,31,13
sgRNA1959,307,300,313,204
sgRNA1960,78,49,75,49
sgRNA1961,178,129,171,94
sgRNA1962,5,5,5,5
sgRNA1963,216,148,192,131
sgRNA1964,123,90,117,77
sgRNA1965,176,133,154,119
sgRNA1966,427,334,395,293
