sgRNA,lowest_OD,lowest_OD2,Depletion
1407,35.7450584,64.2549416,87.77932639
1407,35.7450584,64.2549416,87.77932639
1407,35.7450584,64.2549416,87.77932639
1407,35.7450584,64.2549416,87.77932639
1407,35.7450584,64.2549416,87.77932639
1407,35.7450584,64.2549416,87.77932639
1407,35.7450584,64.2549416,87.77932639
1407,35.7450584,64.2549416,87.77932639
1407,35.7450584,64.2549416,87.77932639
1408,22.69407531,77.30592469,98.11669791
1408,22.69407531,77.30592469,98.11669791
1408,22.69407531,77.30592469,98.11669791
1408,22.69407531,77.30592469,98.11669791
1408,22.69407531,77.30592469,98.11669791
1408,22.69407531,77.30592469,98.11669791
1408,22.69407531,77.30592469,98.11669791
1408,22.69407531,77.30592469,98.11669791
1408,22.69407531,77.30592469,98.11669791
1412,7.349581112,92.65041889,97.98635244
1412,7.349581112,92.65041889,97.98635244
1412,7.349581112,92.65041889,97.98635244
1412,7.349581112,92.65041889,97.98635244
1412,7.349581112,92.65041889,97.98635244
1412,7.349581112,92.65041889,97.98635244
1412,7.349581112,92.65041889,97.98635244
1412,7.349581112,92.65041889,97.98635244
1412,7.349581112,92.65041889,97.98635244
1413,8.766370127,91.23362987,98.04536855
1413,8.766370127,91.23362987,98.04536855
1413,8.766370127,91.23362987,98.04536855
1413,8.766370127,91.23362987,98.04536855
1413,8.766370127,91.23362987,98.04536855
1413,8.766370127,91.23362987,98.04536855
1413,8.766370127,91.23362987,98.04536855
1413,8.766370127,91.23362987,98.04536855
1413,8.766370127,91.23362987,98.04536855
1419,14.13305893,85.86694107,98.89294746
1419,14.13305893,85.86694107,98.89294746
1419,14.13305893,85.86694107,98.89294746
1419,14.13305893,85.86694107,98.89294746
1419,14.13305893,85.86694107,98.89294746
1419,14.13305893,85.86694107,98.89294746
1419,14.13305893,85.86694107,98.89294746
1419,14.13305893,85.86694107,98.89294746
1419,14.13305893,85.86694107,98.89294746
1421,7.858083569,92.14191643,97.52956433
1421,7.858083569,92.14191643,97.52956433
1421,7.858083569,92.14191643,97.52956433
1421,7.858083569,92.14191643,97.52956433
1421,7.858083569,92.14191643,97.52956433
1421,7.858083569,92.14191643,97.52956433
1421,7.858083569,92.14191643,97.52956433
1421,7.858083569,92.14191643,97.52956433
1421,7.858083569,92.14191643,97.52956433
1425,71.37616898,28.62383102,88.12160777
1425,71.37616898,28.62383102,88.12160777
1425,71.37616898,28.62383102,88.12160777
1425,71.37616898,28.62383102,88.12160777
1425,71.37616898,28.62383102,88.12160777
1425,71.37616898,28.62383102,88.12160777
1425,71.37616898,28.62383102,88.12160777
1425,71.37616898,28.62383102,88.12160777
1425,71.37616898,28.62383102,88.12160777
1438,18.96712774,81.03287226,100
1438,18.96712774,81.03287226,100
1438,18.96712774,81.03287226,100
1438,18.96712774,81.03287226,100
1438,18.96712774,81.03287226,100
1438,18.96712774,81.03287226,100
1438,18.96712774,81.03287226,100
1438,18.96712774,81.03287226,100
1438,18.96712774,81.03287226,100
1439,7.849567488,92.15043251,100
1439,7.849567488,92.15043251,100
1439,7.849567488,92.15043251,100
1439,7.849567488,92.15043251,100
1439,7.849567488,92.15043251,100
1439,7.849567488,92.15043251,100
1439,7.849567488,92.15043251,100
1439,7.849567488,92.15043251,100
1439,7.849567488,92.15043251,100
1443,44.51097804,55.48902196,70.87339744
1443,44.51097804,55.48902196,70.87339744
1443,44.51097804,55.48902196,70.87339744
1443,44.51097804,55.48902196,70.87339744
1443,44.51097804,55.48902196,70.87339744
1443,44.51097804,55.48902196,70.87339744
1443,44.51097804,55.48902196,70.87339744
1443,44.51097804,55.48902196,70.87339744
1443,44.51097804,55.48902196,70.87339744
1445,20.33588901,79.66411099,100
1445,20.33588901,79.66411099,100
1445,20.33588901,79.66411099,100
1445,20.33588901,79.66411099,100
1445,20.33588901,79.66411099,100
1445,20.33588901,79.66411099,100
1445,20.33588901,79.66411099,100
1445,20.33588901,79.66411099,100
1445,20.33588901,79.66411099,100
1456,55.40829414,44.59170586,15.07199851
1456,55.40829414,44.59170586,15.07199851
1456,55.40829414,44.59170586,15.07199851
1456,55.40829414,44.59170586,15.07199851
1456,55.40829414,44.59170586,15.07199851
1456,55.40829414,44.59170586,15.07199851
1456,55.40829414,44.59170586,15.07199851
1456,55.40829414,44.59170586,15.07199851
1456,55.40829414,44.59170586,15.07199851
1466,37.74225774,62.25774226,87.71613108
1466,37.74225774,62.25774226,87.71613108
1466,37.74225774,62.25774226,87.71613108
1466,37.74225774,62.25774226,87.71613108
1466,37.74225774,62.25774226,87.71613108
1466,37.74225774,62.25774226,87.71613108
1466,37.74225774,62.25774226,87.71613108
1466,37.74225774,62.25774226,87.71613108
1466,37.74225774,62.25774226,87.71613108
1828,93.52442997,6.47557003,66.48862512
1828,93.52442997,6.47557003,66.48862512
1828,93.52442997,6.47557003,66.48862512
1828,93.52442997,6.47557003,66.48862512
1828,93.52442997,6.47557003,66.48862512
1828,93.52442997,6.47557003,66.48862512
1828,93.52442997,6.47557003,66.48862512
1828,93.52442997,6.47557003,66.48862512
1828,93.52442997,6.47557003,66.48862512
