sgRNA_Manual,10x5x3xpool_Dep,10x5x3xWOR_Dep,10x5x3xWR_Dep,20x10x5xpool_Dep,20x10x5xWOR_Dep,20x10x5xWR_Dep,Spike-in_IC55_Depletion,Spike-in_IC55_Dep_Cond,1X_Depletion,Condition_1X_IC30_Dep
1754,56.44230894,-53.69119172,-56.11456616,67.621998,-78.90173089,-205.6856402,46.28154881,5x3x2xpool_Dep,41.02355808,ON_05R
1643,33.39969703,10.08627715,0.148913095,45.79191736,16.15352771,54.25485804,12.73419271,5x3x2xpool_Dep,85.20179372,ON_01R
2051,52.14607415,33.95614604,30.8640842,60.54157462,31.69123261,-4.931236578,33.40210501,5x3x2xpool_Dep,69.99306999,ON_0R
1472,75.29352426,-130.0336593,-160.5362383,69.45149681,-67.14769607,-183.9115421,-152.8051234,5x3x2xWOR_Dep,88.11594203,ON_0R
1477,-36.35492131,-51.44913571,-43.82094766,-68.0135631,-54.27192399,-83.34723121,-21.93514257,5x3x2xpool_Dep,95.21988528,ON_0R
1620,30.05326781,43.37276249,44.73705962,47.97581639,41.21284412,26.79841306,22.99690566,5x3x2xpool_Dep,73.41137124,ON_0R
1482,-100.5673031,63.41565103,63.60774864,-161.4937165,62.93558735,68.7822517,-82.4663805,5x3x2xpool_Dep,97.74011299,ON_0R
1469,53.34819806,38.30285393,40.24909321,63.92734865,29.90106867,-12.77750651,44.75135059,5x3x2xpool_Dep,97.2972973,ON_0R
1697,66.09318467,-43.12338338,-38.32005105,67.28351047,-10.6240406,-94.14016045,-35.71103971,5x3x2xWOR_Dep,53.50971922,ON_05R
2004,62.58636052,25.20600016,27.5321175,65.54964112,30.2162834,-25.29995341,48.43056714,5x3x2xpool_Dep,64.38431806,ON_0R
1515,19.74464654,26.805722,28.96399374,46.09716093,16.60772951,-52.69844385,3.717886314,5x3x2xpool_Dep,13.21499014,#N/A
1651,46.11605163,-15.3916613,-28.29967342,53.44390629,-19.03409927,-179.4539893,24.62617796,5x3x2xpool_Dep,64.33566434,ON_0R
1522,53.46132601,-11.26418526,-22.49826178,58.86383331,-26.08947201,-90.0333283,44.08922604,5x3x2xpool_Dep,49.46297343,ON_01R
1980,59.52383526,-0.871691341,-3.098620789,66.85181315,-3.788191824,-65.10146259,40.52045324,5x3x2xpool_Dep,77.07602339,ON_0R
1473,-84.29372481,-11.46525685,-16.43159941,-123.1928434,-12.26141565,-126.384855,-46.39576484,5x3x2xpool_Dep,83.86336867,ON_0R
2072,24.37348465,54.98595937,50.45653979,48.10233175,42.80873279,0.438230006,6.835165629,5x3x2xpool_Dep,92.44332494,ON_0R
