Stock ID,C109-0R-R1,C109-0R-R2,C109-01R-R1,C109-01R-R2
539,0.001315889,0.001242222,0.001045413,0.001050092
587,0.001240387,0.000930274,0.000872776,0.001056093
799,0.001412963,0.001270075,0.001198868,0.001242109
338,0.001288924,0.001264504,0.001400278,0.001176103
654,0.001439928,0.001180947,0.001342732,0.001380121
625,0.000781983,0.000824434,0.000805639,0.001038091
885,0.001175671,0.001047255,0.001592097,0.001176103
269,0.001520822,0.001587593,0.001400278,0.00171015
1232,0.000997703,0.000930274,0.000891958,0.000918081
634,0.000825127,0.000852287,0.000738503,0.000870077
160,0.001256566,0.001063966,0.001055004,0.001104097
809,0.001100169,0.001097389,0.001179686,0.000762067
538,0.001515429,0.001487324,0.001572915,0.001764155
787,0.001224208,0.001164235,0.001170095,0.001032091
929,0.000965345,0.000946986,0.001045413,0.001002088
433,0.001650254,0.001815984,0.002148372,0.001668147
340,0.001326675,0.001264504,0.000959095,0.001392123
804,0.000857485,0.001119671,0.000872776,0.000606053
650,0.000749625,0.001058396,0.001246823,0.000480042
194,0.001089383,0.000974838,0.000882367,0.000954084
348,0.001030061,0.000880139,0.001237232,0.001050092
569,0.00099231,0.001136383,0.000968686,0.001218107
EDC1,0.001240387,0.001069537,0.001275596,0.001566138
1078,0.00072266,0.00088571,0.000939913,0.000504044
EDC1697,0.001094776,0.001459472,0.001055004,0.001488131
EDC1702,0.001073204,0.000958127,0.001102959,0.001080095
820,0.001057025,0.000924704,0.000757685,0.000882078
629,0.001030061,0.001047255,0.000834412,0.00102609
328,0.000560871,0.000685172,0.000652184,0.000540048
174,0.000959952,0.000830005,0.00111255,0.000858076
1230,0.001100169,0.001024973,0.001294778,0.001092096
573,0.001181064,0.000835575,0.001150914,0.001242109
567,0.000879057,0.000802152,0.000767276,0.000756067
889,0.00093838,0.001164235,0.000930322,0.000936082
780,0.001013882,0.000768729,0.000959095,0.000936082
826,0.000981524,0.000969268,0.001179686,0.000966085
693,0.000852092,0.000757588,0.00060423,0.001038091
565,0.001127134,0.000941415,0.000844003,0.000828073
985,0.001261959,0.001203229,0.001371505,0.001206106
817,0.000798162,0.000857857,0.000671366,0.000594052
805,0.000652551,0.000707454,0.000690548,0.000666059
556,0.000765804,0.000924704,0.000844003,0.000984087
800,0.000765804,0.000718595,0.00070973,0.000888078
190,0.000889843,0.001041684,0.000882367,0.000966085
553,0.000852092,0.000874569,0.000863185,0.000648057
877,0.000911415,0.001153094,0.000939913,0.001092096
499,0.001116348,0.001186517,0.000939913,0.00091208
671,0.000906022,0.001231081,0.000939913,0.000978086
445,0.000711874,0.000863428,0.000738503,0.000630055
983,0.000738839,0.000657319,0.000824821,0.000852075
815,0.001046239,0.000935845,0.001007049,0.001116098
624,0.00099231,0.001197658,0.000805639,0.000804071
EDC43,0.000560871,0.000640608,0.000565866,0.000708062
172,0.000598622,0.000568191,0.00070973,0.000636056
447,0.00099231,0.001024973,0.001083777,0.00125411
446,0.000862878,0.000830005,0.000776867,0.000960084
581,0.000798162,0.001052825,0.001064595,0.000768068
626,0.000970738,0.000974838,0.00101664,0.000990087
1099,0.000997703,0.000785441,0.000987867,0.001008089
835,0.00072266,0.000579332,0.000642593,0.000738065
188,0.000625586,0.000752018,0.000786458,0.000666059
1067,0.000749625,0.000545909,0.000872776,0.000738065
448,0.000959952,0.001052825,0.001026231,0.000858076
1257,0.000717267,0.000679601,0.000661775,0.00079807
779,0.001224208,0.00110853,0.001304369,0.001218107
1073,0.000976131,0.00110853,0.000978277,0.000942083
808,0.000922201,0.001019402,0.000978277,0.000654058
857,0.000528513,0.000523627,0.000565866,0.000732064
822,0.00066873,0.000796582,0.000738503,0.000738065
806,0.000771197,0.000757588,0.000978277,0.000762067
EDC51,0.000517727,0.00055148,0.000431593,0.000468041
1209,0.000949166,0.00110853,0.000882367,0.00079207
180,0.000949166,0.001030543,0.000978277,0.000918081
EDC1689,0.000765804,0.000729736,0.000748094,0.000714063
1033,0.000614801,0.000573762,0.000594639,0.000558049
1049,0.000841306,0.000696313,0.000661775,0.000864076
EDC5,0.000679516,0.000646178,0.000623411,0.000840074
416,0.000927594,0.001130812,0.00091114,0.000660058
510,0.000825127,0.000813293,0.000824821,0.000780069
1074,0.001159492,0.000974838,0.000978277,0.001062093
627,0.000463797,0.000534768,0.000719321,0.000300026
86,0.000814341,0.0007743,0.000844003,0.000786069
1069,0.000911415,0.000696313,0.000796049,0.000786069
931,0.000533906,0.000596044,0.000537093,0.000648057
982,0.000485369,0.000428929,0.000374047,0.000486043
EDC1706,0.00041526,0.000434499,0.000498729,0.000432038
1264,0.00057705,0.000646178,0.000460365,0.000618054
796,0.000717267,0.0007743,0.000633002,0.000774068
566,0.000641765,0.000623896,0.000671366,0.000660058
823,0.00072266,0.000573762,0.00050832,0.000630055
1034,0.000879057,0.001097389,0.000776867,0.000762067
696,0.000841306,0.000841146,0.000738503,0.000828073
EDC1692,0.000690302,0.000740877,0.000633002,0.000738065
1199,0.000922201,0.000852287,0.000872776,0.000756067
783,0.000798162,0.000852287,0.000738503,0.000774068
949,0.000636372,0.000763159,0.000776867,0.000600053
