Stock ID,Novobiocin-0R-R1,Novobiocin-0R-R2,Novobiocin-01R-R1,Novobiocin-01R-R2
338,0.00107031,0.001377,0.00123879,0.001268979
654,0.000891925,0.000797211,0.001096845,0.000806175
625,0.001043553,0.000942158,0.001161365,0.001089829
885,0.000891925,0.00103879,0.001148461,0.00105997
269,0.00131113,0.001312579,0.001277502,0.001224191
1232,0.001177342,0.001224,0.001006517,0.001343625
634,0.001275453,0.001240105,0.0009549,0.001343625
160,0.000820571,0.000982421,0.000851668,0.00105997
809,0.000918683,0.001087105,0.00136783,0.000970395
538,0.001275453,0.00134479,0.001290406,0.001433199
787,0.001097068,0.000869684,0.001290406,0.001134616
929,0.000883006,0.000901895,0.00123879,0.000776316
433,0.001141665,0.001167632,0.001496871,0.001015183
340,0.00107031,0.001320632,0.001148461,0.00125405
804,0.001221938,0.001328684,0.00130331,0.00123912
650,0.00131113,0.002029263,0.001651719,0.002015437
194,0.000900845,0.000950211,0.001187173,0.000985325
348,0.001043553,0.00103879,0.001329118,0.000925608
569,0.00107031,0.001095158,0.001071037,0.000955466
EDC1,0.001355727,0.001030737,0.00136783,0.001477987
1078,0.001159503,0.001199842,0.000993612,0.001328695
EDC1697,0.00107923,0.000974368,0.001071037,0.000791246
EDC1702,0.000749217,0.000571737,0.000696819,0.000671812
820,0.000775975,0.000789158,0.000800052,0.000641954
629,0.000865168,0.000950211,0.000645203,0.000970395
328,0.000758137,0.000901895,0.001045229,0.000791246
174,0.000829491,0.000837474,0.000916188,0.00089575
1230,0.000990037,0.000901895,0.001109749,0.000985325
573,0.001105987,0.001127368,0.001019421,0.000746458
567,0.00072246,0.000990474,0.000980708,0.000955466
889,0.000811652,0.001079053,0.001071037,0.001134616
780,0.000802733,0.000813316,0.001006517,0.000806175
826,0.000784894,0.000797211,0.000916188,0.000910679
693,0.000775975,0.000982421,0.00082586,0.001104758
565,0.001097068,0.001087105,0.001109749,0.001045041
985,0.001221938,0.001111263,0.001058133,0.000880821
817,0.000963279,0.001594421,0.001096845,0.0010749
805,0.000820571,0.000765,0.000916188,0.000806175
556,0.000758137,0.000765,0.000619395,0.001000254
800,0.000865168,0.000756947,0.000787148,0.0007166
190,0.000972199,0.000829421,0.000903284,0.00089575
553,0.001016795,0.001264263,0.00143235,0.001373483
877,0.00107031,0.000893842,0.001277502,0.00105997
499,0.000668944,0.000636158,0.000722627,0.001089829
671,0.000865168,0.000813316,0.000916188,0.000985325
445,0.000695702,0.000821368,0.000696819,0.0007166
983,0.000660025,0.000708632,0.000851668,0.000686741
815,0.001061391,0.000781105,0.001045229,0.000776316
624,0.001204099,0.000829421,0.000980708,0.000761387
EDC43,0.00059759,0.000716684,0.000877476,0.000612096
172,0.000651106,0.000724737,0.000645203,0.000686741
447,0.000909764,0.000845526,0.001135557,0.0010749
446,0.000936522,0.000998526,0.000812956,0.000955466
581,0.000865168,0.000974368,0.001174269,0.001209262
626,0.000927602,0.000700579,0.000735531,0.000761387
1099,0.000784894,0.000636158,0.000748435,0.000776316
835,0.000552994,0.000620053,0.000593587,0.00053745
188,0.000624348,0.000668368,0.000567779,0.000791246
